Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,4,6,569.46,570.89,565.4,568.22,2060100,568.22,565.5685,7.6298267036,573.1983267036,557.9386732964,0.3475177226
2010,4,5,570.9,574.88,569,571.01,1901500,571.01,565.2815,7.6327957732,572.9142957732,557.6487042268,0.7505113683
2010,4,1,571.35,573.45,565.55,568.8,2102700,568.8,564.9415,7.514730289,572.456230289,557.426769711,0.513458215
2010,3,31,565.05,569.74,562.81,567.12,3030800,567.12,564.231,7.7971708094,572.0281708094,556.4338291906,0.3705190088
2010,3,30,562.83,567.63,560.28,566.71,1977900,566.71,563.141,8.8277051318,571.9687051318,554.3132948682,0.4042953346
2010,3,29,563,564.72,560.57,562.45,3104500,562.45,561.8585,10.0592347072,571.9177347072,551.7992652928,0.0588016899
2010,3,26,565.27,567.39,560.02,562.69,2696200,562.69,560.3705,11.9840782422,572.3545782422,548.3864217578,0.1935484693
2010,3,25,559.02,572,558.66,562.88,3930900,562.88,558.576,14.1159452207,572.6919452207,544.4600547793,0.3049034218
2010,3,24,545.51,559.85,539.7,557.33,6565200,557.33,556.7535,15.7853180536,572.5388180536,540.9681819464,0.0365212787
2010,3,23,557.04,558.31,542,549,5501300,549,555.4605,16.7643655522,572.2248655522,538.6961344478,-0.3853709811
2010,3,22,556.11,566.85,554.28,557.5,4004800,557.5,554.764,17.3268384458,572.0908384458,537.4371615542,0.1579053218
2010,3,19,566.23,568,557.28,560,4792400,560,554.029,17.5154283569,571.5444283569,536.5135716431,0.3408994561
2010,3,18,564.72,568.44,562.96,566.4,1777200,566.4,553.067,17.6976344241,570.7646344241,535.3693655759,0.7533775238
2010,3,17,568.3,571.45,564.25,565.56,3321600,565.56,551.908,17.5368002843,569.4448002843,534.3711997157,0.7784772466
2010,3,16,561.83,568.42,560.76,565.2,3431500,565.2,550.5405,17.4824797937,568.0229797937,533.0580202063,0.8385252077
2010,3,15,566.68,569.45,556,563.18,4653900,563.18,549.3455,17.2428937231,566.5883937231,532.1026062769,0.8023305265
2010,3,12,588.14,588.28,579.16,579.54,2753400,579.54,547.8425,17.2835845073,565.1260845073,530.5589154927,1.8339656329
2010,3,11,574.26,586.21,574.2,581.14,4233300,581.14,545.6855,15.7427843037,561.4282843037,529.9427156963,2.252111146
2010,3,10,563.76,578.5,562.21,576.45,5654900,576.45,543.351,13.5123471412,556.8633471412,529.8386528588,2.4495374234
2010,3,9,559.85,564.66,556.5,560.19,3176600,560.19,541.3505,11.1006521738,552.4511521738,530.2498478262,1.6971525371
